"Country","Alcohol.Consumption.All.Types","Beer","Other","Spirits","Wine"
"Portugal",10.54,2.69,0.48,0.82,6.54
"Qatar",1.26,0.33,0.01,0.79,0.13
"North Korea",9.06,2.01,6.24,0.64,0.17
"Moldova",9.39,1.52,0.19,2.43,5.25
"Romania",10.4,5.78,0,1.7,2.92
"Russian Federation",8.41,3.49,0.69,3.36,0.87
"Rwanda",6.91,1.02,5.68,0.19,0.01
"Saint Kitts and Nevis",8.8,4.15,0.19,3.88,0.58
"Saint Lucia",9.66,3.36,0.14,4.87,1.28
"Saint Vincent and the Grenadines",7.25,2.6,0.17,4.21,0.27
"Samoa",1.97,1.86,0,0,0.12
"Sao Tome and Principe",4.85,0.96,0,0,3.89
"Saudi Arabia",0.08,0,0,0.08,0
"Senegal",0.25,0.14,0,0.02,0.08
"Serbia",9.13,2.95,0.01,2.28,3.89
"Seychelles",11.5,7.92,0.28,0.72,2.57
"Sierra Leone",3.42,0.14,3.25,0,0.04
"Singapore",1.8,1.25,0.03,0.25,0.27
"Slovakia",10.78,3.44,0.47,4.27,2.61
"Slovenia",11.49,5.73,0,0.86,4.9
"Solomon Islands",0.98,0.94,0,0,0.03
"Somalia",0,0,0,0,0
"South Africa",7.12,3.94,0.56,1.31,1.3
"Spain",8.26,4.51,0,2.21,1.55
"Sri Lanka",2.72,0.36,0.04,2.31,0.01
"Suriname",4.69,2.05,0.14,2.36,0.15
"Swaziland",7.38,1.81,4.37,0,1.19
"Sweden",7.16,2.62,0.11,1.01,3.42
"Switzerland",9.62,3.17,0.12,1.76,4.58
"Syrian Arab Republic",0.23,0.03,0,0.2,0
"Tajikistan",0.9,0.36,0,0.53,0.01
"Thailand",6.57,1.86,0,4.53,0.18
"Macedonia",4.68,1.67,0.03,0.84,2.15
"Timor-Leste",0.56,0.38,0,0,0.18
"Togo",1.66,0.61,0.48,0.3,0.26
"Trinidad and Tobago",6.87,3.73,0.13,2.77,0.25
"Tunisia",1.42,1.04,0,0.05,0.33
"Turkey",1.4,0.8,0,0.47,0.13
"Turkmenistan",3.39,0.87,0,1.3,1.22
