"Country","Region","Happiness.Score","Economy.GDP.per.Capita","Health.Life.Expectancy","PISA.Performance.Mean.Mathematics","PISA.Performance.Mean.Reading","PISA.Performance.Mean.Science","Alcohol.Consumption.All.Types"
"Jordan","Middle East and Northern Africa",5.192,0.90198,0.69639,380.259,408.1022,408.6691,0.37
"Kazakhstan","Central and Eastern Europe",5.855,1.12254,0.64368,459.816,427.141,456.4836,5.92
"Latvia","Central and Eastern Europe",5.098,1.11312,0.72437,482.3051,487.7581,490.225,10.82
"Lebanon","Middle East and Northern Africa",4.839,1.02564,0.83947,396.2497,346.549,386.4854,1.18
"Lithuania","Central and Eastern Europe",5.833,1.14723,0.73128,478.3834,472.4066,475.4089,14.42
"Luxembourg","Western Europe",6.946,1.56391,0.91894,485.7706,481.4391,482.8064,11.83
"Macedonia","Central and Eastern Europe",5.007,0.91851,0.73545,371.3114,351.7415,383.6824,4.68
"Malaysia","Southeastern Asia",5.77,1.12486,0.72394,446.1098,430.5782,442.9475,0.64
"Malta","Western Europe",6.302,1.2074,0.88721,478.6448,446.6661,464.7819,7.75
"Mexico","Latin America and Caribbean",7.187,1.02054,0.81444,408.0235,423.2765,415.7099,5.28
"Moldova","Central and Eastern Europe",5.889,0.59448,0.61826,419.6635,416.2293,427.9978,9.39
"Montenegro","Central and Eastern Europe",5.192,0.97438,0.72521,417.9341,426.8845,411.3136,6.41
"Netherlands","Western Europe",7.378,1.32944,0.89284,512.2528,502.9591,508.5748,8.03
"New Zealand","Australia and New Zealand",7.286,1.25018,0.90837,495.2233,509.2707,513.3035,8.87
"Norway","Western Europe",7.522,1.459,0.88521,501.7298,513.1912,498.4811,5.97
"Peru","Latin America and Caribbean",5.824,0.90019,0.73017,386.5606,397.5414,396.6836,5.1
"Poland","Central and Eastern Europe",5.791,1.12555,0.77903,504.4693,505.6971,501.4353,10.48
"Portugal","Western Europe",5.102,1.15991,0.87519,491.627,498.1289,501.1001,10.54
"Qatar","Middle East and Northern Africa",6.611,1.69042,0.79733,402.4007,401.8874,417.6112,1.26
"Republic of Korea","Eastern Asia",5.984,1.24461,0.96538,524.1062,517.4367,515.8099,9.06
"Republic of Korea","Eastern Asia",5.984,1.24461,0.96538,524.1062,517.4367,515.8099,3.35
"Russian Federation","Central and Eastern Europe",5.716,1.13764,0.66926,494.06,494.6278,486.631,8.41
"Singapore","Southeastern Asia",6.798,1.52186,1.02525,564.1897,535.1002,555.5747,1.8
"Slovakia","Central and Eastern Europe",5.995,1.16891,0.78902,475.2301,452.5143,460.7749,10.78
"Slovenia","Central and Eastern Europe",5.848,1.18498,0.87337,509.9196,505.2159,512.8636,11.49
"Spain","Western Europe",6.329,1.23011,0.95562,485.8432,495.5764,492.7861,8.26
"Sweden","Western Europe",7.364,1.33171,0.91087,493.9181,500.1556,493.4224,7.16
"Switzerland","Western Europe",7.587,1.39651,0.94143,521.2506,492.1982,505.5058,9.62
"Thailand","Southeastern Asia",6.455,0.9669,0.7385,415.4638,409.1301,421.3373,6.57
"Trinidad and Tobago","Latin America and Caribbean",6.168,1.21183,0.61483,417.2434,427.2733,424.5905,6.87
"Tunisia","Middle East and Northern Africa",4.739,0.88113,0.73793,366.818,361.0555,386.4034,1.42
"Turkey","Middle East and Northern Africa",5.332,1.06098,0.73172,420.454,428.3351,425.4895,1.4
"United Arab Emirates","Middle East and Northern Africa",6.901,1.42727,0.80925,427.4827,433.5423,436.7311,2.03
"United Kingdom","Western Europe",6.867,1.26637,0.90943,492.4785,497.9719,509.2215,9.82
"United States","North America",7.119,1.39451,0.86179,469.6285,496.9351,496.2424,8.78
"Uruguay","Latin America and Caribbean",6.485,1.06166,0.8116,417.9919,436.5721,435.363,9.03
"Vietnam","Southeastern Asia",5.36,0.63216,0.74676,494.5183,486.7738,524.6445,2.92
